,start_station_name,end_station_name,start_lat,start_lng,end_lat,end_lng,trips
1253413,Broadway & W 58 St,Madison Av & E 51 St,40.76647377,-73.98178637,40.75863,-73.97513,1
360253,31 St & Thomson Ave,39 St & 47 Ave,40.744293332,-73.935555696,40.74215636827728,-73.92662644386292,1
2521940,E Houston St & Columbia St,S 5 Pl & S 5 St,40.719710708,-73.978670239,40.710451,-73.960876,1
313583,3 St & 7 Ave,S Portland Ave & Hanson Pl,40.670308232,-73.978226066,40.68539567,-73.97431458,1
2601909,Forsyth St\t& Grand St,Walker St & Baxter St,40.717417598,-73.993337989,40.717411,-73.999573,1
5025879,Westchester Ave & E 156 St,Boston Rd & Prospect Ave,40.817859292,-73.905228496,40.833246,-73.896599,1
1779307,E 106 St & 2 Ave,LaGuardia Pl & W 3 St,40.790416479,-73.941643,40.72917025,-73.99810231,1
5053663,Willoughby Ave & Hall St,Lafayette Ave & Ft Greene Pl,40.691996336,-73.96529007,40.68700231292619,-73.97664964199066,1
764354,Adam Clayton Powell Blvd & W 115 St,Cathedral Pkwy & Broadway,40.802378178,-73.953336358,40.804213,-73.96699104,1
904746,Atlantic Ave & Fort Greene Pl,7 St & 5 Ave,40.683782339,-73.976348996,40.6704922,-73.98541675,1
3210680,Lexington Ave & E 29 St,9 Ave & W 18 St,40.743066549,-73.981631875,40.74317449,-74.00366443,1
1395877,Central Ave & Himrod St,53 St & 4 Ave,40.69676,-73.92302,40.644862,-74.014531,1
3761384,Riverside Dr & W 82 St,W 100 St & Broadway,40.78706193,-73.981297374,40.7973721,-73.97041192,1
1047981,Borden Ave & Review Ave,Madison St & Forest Ave,40.738610864,-73.941084146,40.70555,-73.90245,1
4255024,W 145 St & Amsterdam Ave,W 54 St & 11 Ave,40.825197935,-73.947127938,40.768333,-73.992573,1
4129290,Vernon Blvd & 41 Rd,Lexington Ave & E 29 St,40.7552433,-73.9485678,40.74311555376486,-73.98215353488922,1
3019295,Jerome Ave & E Mosholu Parkway S,W 225 St & Exterior St,40.879482388,-73.885261297,40.873265,-73.906646,1
